service_request_id,requested_date,updated_date,closed_date,status_description,source,service_name,agency_responsible,address,comm_code,comm_name,location_type,longitude,latitude,point
24-00145345,2024-02-28 0:00,2024-03-18 0:00,2024-03-18 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,SPH,SPRINGBANK HILL,Community Centrepoint,-114.2098197,51.02656453,POINT (-114.20981973671283 51.02656453099153)
24-00355073,2024-05-14 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,EDG,EDGEMONT,Community Centrepoint,-114.1439532,51.12458785,POINT (-114.14395321026963 51.12458784624158)
24-00272283,2024-04-16 0:00,2024-06-25 0:00,2024-06-25 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,MAL,MAYLAND HEIGHTS,Community Centrepoint,-114.0133147,51.06083346,POINT (-114.0133147032304 51.0608334639511)
24-00149311,2024-02-29 0:00,2024-02-29 0:00,2024-02-29 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,SGL,STONEGATE LANDING,Community Centrepoint,-113.9866827,51.16446858,POINT (-113.98668274803757 51.16446858199437)
24-00150400,2024-02-29 0:00,2024-04-05 0:00,2024-04-05 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,MNI,MANCHESTER INDUSTRIAL,Community Centrepoint,-114.0572225,51.01325599,POINT (-114.05722246720464 51.013255989792455)
24-00150432,2024-02-29 0:00,2024-04-05 0:00,2024-04-05 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,MNI,MANCHESTER INDUSTRIAL,Community Centrepoint,-114.0572225,51.01325599,POINT (-114.05722246720464 51.013255989792455)
24-00347681,2024-05-11 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,MRN,MORAINE,Community Centrepoint,-114.1062431,51.19053874,POINT (-114.1062431095031 51.19053873577124)
24-00113279,2024-02-14 0:00,2024-03-04 0:00,2024-03-04 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,HIL,HILLHURST,Community Centrepoint,-114.093646,51.05727753,POINT (-114.09364601408916 51.05727753172276)
24-00355460,2024-05-14 0:00,2024-06-07 0:00,2024-06-07 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,HAM,HAMPTONS,Community Centrepoint,-114.1466842,51.14509284,POINT (-114.14668419231347 51.14509283969437)
24-00300791,2024-04-25 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BRE,BRENTWOOD,Community Centrepoint,-114.1359192,51.09606554,POINT (-114.1359191739885 51.09606553620387)
24-00353906,2024-05-14 0:00,2024-06-10 0:00,2024-06-10 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,OAK,OAKRIDGE,Community Centrepoint,-114.129614,50.9696628,POINT (-114.12961404738564 50.969662798794815)
24-00361016,2024-05-15 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,DIS,DISCOVERY RIDGE,Community Centrepoint,-114.2177188,51.01609153,POINT (-114.21771877703736 51.016091532285486)
24-00147201,2024-02-28 0:00,2024-03-26 0:00,2024-03-26 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,GDL,GLENDALE,Community Centrepoint,-114.1527189,51.03337139,POINT (-114.15271889005692 51.033371391768654)
24-00151665,2024-03-01 0:00,2024-03-01 0:00,2024-03-01 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,REN,RENFREW,Community Centrepoint,-114.039169,51.05965316,POINT (-114.03916899334408 51.059653157676735)
24-00153239,2024-03-01 0:00,2024-03-01 0:00,2024-03-01 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,MNI,MANCHESTER INDUSTRIAL,Community Centrepoint,-114.0572225,51.01325599,POINT (-114.05722246720464 51.013255989792455)
24-00358484,2024-05-15 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,MID,MIDNAPORE,Community Centrepoint,-114.0574843,50.91560246,POINT (-114.05748430703984 50.91560245618709)
24-00359755,2024-05-15 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,DAL,DALHOUSIE,Community Centrepoint,-114.1581554,51.10940994,POINT (-114.15815535928422 51.109409937360724)
24-00355059,2024-05-14 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,SCE,SCENIC ACRES,Community Centrepoint,-114.217341,51.11270751,POINT (-114.21734095687482 51.11270750759221)
24-00167998,2024-03-07 0:00,2024-04-10 0:00,2024-04-10 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,ING,INGLEWOOD,Community Centrepoint,-114.0191258,51.03414052,POINT (-114.01912581291103 51.03414052350448)
24-00153678,2024-03-02 0:00,2024-03-02 0:00,2024-03-02 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,EVN,EVANSTON,Community Centrepoint,-114.1124511,51.17108484,POINT (-114.11245112799256 51.17108484116176)
24-00155342,2024-03-03 0:00,2024-03-03 0:00,2024-03-03 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,CUR,CURRIE BARRACKS,Community Centrepoint,-114.1248177,51.01572349,POINT (-114.1248177444654 51.01572348884976)
24-00368780,2024-05-19 0:00,2024-05-19 0:00,2024-05-19 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,COV,COVENTRY HILLS,Community Centrepoint,-114.0531434,51.16490633,POINT (-114.05314340697439 51.16490633029946)
24-00161397,2024-03-05 0:00,2024-05-13 0:00,2024-05-13 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,OAK,OAKRIDGE,Community Centrepoint,-114.129614,50.9696628,POINT (-114.12961404738564 50.969662798794815)
24-00367487,2024-05-18 0:00,2024-05-18 0:00,2024-05-18 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,MCI,MCCALL,Community Centrepoint,-114.0270867,51.08899754,POINT (-114.02708667609807 51.088997537753826)
24-00955412,2024-12-17 0:00,2024-12-18 0:00,2024-12-18 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,HAY,HAYSBORO,Community Centrepoint,-114.0833402,50.97221484,POINT (-114.08334023954198 50.972214842335006)
24-00155360,2024-03-04 0:00,2024-03-04 0:00,2024-03-04 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,CUR,CURRIE BARRACKS,Community Centrepoint,-114.1248177,51.01572349,POINT (-114.1248177444654 51.01572348884976)
24-00142845,2024-02-27 0:00,2024-03-04 0:00,2024-03-04 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,EVN,EVANSTON,Community Centrepoint,-114.1124511,51.17108484,POINT (-114.11245112799256 51.17108484116176)
24-00049134,2024-01-20 0:00,2024-04-02 0:00,2024-04-02 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,MPL,MAPLE RIDGE,Community Centrepoint,-114.034689,50.95763758,POINT (-114.0346890274 50.957637582999936)
24-00363021,2024-05-16 0:00,2024-05-16 0:00,2024-05-16 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,EVE,EVERGREEN,Community Centrepoint,-114.1156935,50.91870443,POINT (-114.11569352503115 50.91870443338007)
24-00362146,2024-05-16 0:00,2024-05-16 0:00,2024-05-16 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,RIC,RICHMOND,Community Centrepoint,-114.1184203,51.02971029,POINT (-114.11842028929458 51.02971029482691)
24-00151992,2024-03-01 0:00,2024-03-05 0:00,2024-03-05 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,HIL,HILLHURST,Community Centrepoint,-114.093646,51.05727753,POINT (-114.09364601408916 51.05727753172276)
24-00366258,2024-05-17 0:00,2024-05-17 0:00,2024-05-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,ACA,ACADIA,Community Centrepoint,-114.053696,50.97241507,POINT (-114.05369601618155 50.97241507334731)
24-00162285,2024-03-06 0:00,2024-05-10 0:00,2024-05-10 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,COV,COVENTRY HILLS,Community Centrepoint,-114.0531434,51.16490633,POINT (-114.05314340697439 51.16490633029946)
24-00162457,2024-03-06 0:00,2024-03-21 0:00,2024-03-21 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,OAK,OAKRIDGE,Community Centrepoint,-114.129614,50.9696628,POINT (-114.12961404738564 50.969662798794815)
24-00162521,2024-03-06 0:00,2024-05-10 0:00,2024-05-10 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,TEM,TEMPLE,Community Centrepoint,-113.9467677,51.08879459,POINT (-113.94676773665904 51.08879458506016)
24-00162016,2024-03-06 0:00,2024-03-06 0:00,2024-03-06 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,NHU,NORTH HAVEN UPPER,Community Centrepoint,-114.0853543,51.10440179,POINT (-114.0853543035538 51.104401790870625)
24-00944078,2024-12-12 0:00,2024-12-18 0:00,2024-12-18 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,CRA,CRANSTON,Community Centrepoint,-113.980004,50.87819417,POINT (-113.98000403324264 50.87819416610164)
24-00162127,2024-03-06 0:00,2024-03-06 0:00,2024-03-06 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,NHU,NORTH HAVEN UPPER,Community Centrepoint,-114.0853543,51.10440179,POINT (-114.0853543035538 51.104401790870625)
24-00174323,2024-03-11 0:00,2024-03-21 0:00,2024-03-21 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,EVE,EVERGREEN,Community Centrepoint,-114.1156935,50.91870443,POINT (-114.11569352503115 50.91870443338007)
24-00177388,2024-03-12 0:00,2024-03-12 0:00,2024-03-12 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BLM,BELMONT,Community Centrepoint,-114.0552494,50.8686837,POINT (-114.05524942357688 50.86868369556737)
24-00165386,2024-03-07 0:00,2024-03-07 0:00,2024-03-07 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BRA,BRAESIDE,Community Centrepoint,-114.1063659,50.95600269,POINT (-114.10636590290262 50.95600269125181)
24-00164123,2024-03-06 0:00,2024-03-07 0:00,2024-03-07 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,APP,APPLEWOOD PARK,Community Centrepoint,-113.9278103,51.04487483,POINT (-113.92781025877834 51.0448748321394)
24-00165822,2024-03-07 0:00,2024-03-07 0:00,2024-03-07 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,TEM,TEMPLE,Community Centrepoint,-113.9467677,51.08879459,POINT (-113.94676773665904 51.08879458506016)
24-00167670,2024-03-07 0:00,2024-03-07 0:00,2024-03-07 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,SCE,SCENIC ACRES,Community Centrepoint,-114.217341,51.11270751,POINT (-114.21734095687482 51.11270750759221)
24-00187433,2024-03-14 0:00,2024-03-26 0:00,2024-03-26 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BRE,BRENTWOOD,Community Centrepoint,-114.1359192,51.09606554,POINT (-114.1359191739885 51.09606553620387)
24-00367420,2024-05-18 0:00,2024-06-12 0:00,2024-06-12 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,SOC,SOUTH CALGARY,Community Centrepoint,-114.1020747,51.02680215,POINT (-114.10207470148995 51.02680215136445)
24-00171261,2024-03-09 0:00,2024-03-09 0:00,2024-03-09 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,CSC,CITYSCAPE,Community Centrepoint,-113.961258,51.14703156,POINT (-113.96125803148381 51.14703155696725)
24-00170654,2024-03-08 0:00,2024-03-09 0:00,2024-03-09 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,WSP,WEST SPRINGS,Community Centrepoint,-114.2066863,51.05977297,POINT (-114.20668628482576 51.05977296921509)
24-00173166,2024-03-10 0:00,2024-03-10 0:00,2024-03-10 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,SGL,STONEGATE LANDING,Community Centrepoint,-113.9866827,51.16446858,POINT (-113.98668274803757 51.16446858199437)
24-00173311,2024-03-10 0:00,2024-03-10 0:00,2024-03-10 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,GDL,GLENDALE,Community Centrepoint,-114.1527189,51.03337139,POINT (-114.15271889005692 51.033371391768654)
24-00169675,2024-03-08 0:00,2024-04-26 0:00,2024-04-26 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,THO,THORNCLIFFE,Community Centrepoint,-114.0687804,51.10310303,POINT (-114.06878043292588 51.10310302976012)
24-00174630,2024-03-11 0:00,2024-03-11 0:00,2024-03-11 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BLN,BELTLINE,Community Centrepoint,-114.0551861,51.03743796,POINT (-114.05518608886146 51.037437963359764)
24-00167191,2024-03-07 0:00,2024-03-11 0:00,2024-03-11 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,VAL,VALLEY RIDGE,Community Centrepoint,-114.2512974,51.09538869,POINT (-114.25129736956058 51.095388691563684)
24-00177161,2024-03-11 0:00,2024-03-11 0:00,2024-03-11 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,NAW,NORTH AIRWAYS,Community Centrepoint,-114.007524,51.08713865,POINT (-114.00752398291431 51.08713865081421)
24-00369917,2024-05-19 0:00,2024-05-19 0:00,2024-05-19 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,CRA,CRANSTON,Community Centrepoint,-113.980004,50.87819417,POINT (-113.98000403324264 50.87819416610164)
24-00177685,2024-03-12 0:00,2024-03-12 0:00,2024-03-12 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,PIN,PINERIDGE,Community Centrepoint,-113.946765,51.07425976,POINT (-113.94676495577161 51.074259757631374)
24-00180114,2024-03-12 0:00,2024-03-12 0:00,2024-03-12 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,FRA,FRANKLIN,Community Centrepoint,-113.987524,51.05892759,POINT (-113.98752400359126 51.05892758945268)
24-00182169,2024-03-13 0:00,2024-04-11 0:00,2024-04-11 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,ACA,ACADIA,Community Centrepoint,-114.053696,50.97241507,POINT (-114.05369601618155 50.97241507334731)
24-00182040,2024-03-13 0:00,2024-04-10 0:00,2024-04-10 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,ERI,ERIN WOODS,Community Centrepoint,-113.9676688,51.02097628,POINT (-113.96766881721655 51.0209762755992)
24-00375558,2024-05-21 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BNK,BANKVIEW,Community Centrepoint,-114.1004832,51.03412753,POINT (-114.10048318978971 51.0341275275111)
24-00373198,2024-05-21 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,ST2,STONEY 2,Community Centrepoint,-114.0172182,51.14338378,POINT (-114.01721821479654 51.14338378225709)
24-00373233,2024-05-21 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,ST2,STONEY 2,Community Centrepoint,-114.0172182,51.14338378,POINT (-114.01721821479654 51.14338378225709)
24-00374206,2024-05-21 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,SAD,SADDLE RIDGE,Community Centrepoint,-113.9456225,51.13057324,POINT (-113.94562252266931 51.13057324213389)
24-00371200,2024-05-20 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,TEM,TEMPLE,Community Centrepoint,-113.9467677,51.08879459,POINT (-113.94676773665904 51.08879458506016)
24-00355901,2024-05-14 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,CRA,CRANSTON,Community Centrepoint,-113.980004,50.87819417,POINT (-113.98000403324264 50.87819416610164)
24-00367189,2024-05-17 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,LKB,LAKE BONAVISTA,Community Centrepoint,-114.0512956,50.939599,POINT (-114.05129556068408 50.93959899764023)
24-00375696,2024-05-21 0:00,2024-05-21 0:00,2024-05-21 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,ALT,ALTADORE,Community Centrepoint,-114.1007824,51.01595412,POINT (-114.10078239468564 51.015954118298694)
24-00099366,2024-02-08 0:00,2024-03-14 0:00,2024-03-14 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,TUS,TUSCANY,Community Centrepoint,-114.2408862,51.12191109,POINT (-114.24088620535426 51.12191108762252)
24-00379393,2024-05-23 0:00,2024-06-24 0:00,2024-06-24 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,SPH,SPRINGBANK HILL,Community Centrepoint,-114.2098197,51.02656453,POINT (-114.20981973671283 51.02656453099153)
24-00191732,2024-03-16 0:00,2024-03-16 0:00,2024-03-16 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,BOW,BOWNESS,Community Centrepoint,-114.1883885,51.08334629,POINT (-114.18838847472048 51.0833462877166)
24-00190772,2024-03-15 0:00,2024-03-15 0:00,2024-03-15 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BOW,BOWNESS,Community Centrepoint,-114.1883885,51.08334629,POINT (-114.18838847472048 51.0833462877166)
24-00187099,2024-03-14 0:00,2024-03-14 0:00,2024-03-14 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,TUX,TUXEDO PARK,Community Centrepoint,-114.0610449,51.07421777,POINT (-114.06104493215598 51.07421777158121)
24-00190904,2024-03-16 0:00,2024-03-16 0:00,2024-03-16 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,TAR,TARADALE,Community Centrepoint,-113.9340021,51.11794016,POINT (-113.93400207797254 51.11794016304313)
24-00189152,2024-03-15 0:00,2024-04-10 0:00,2024-04-10 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,PKL,PARKLAND,Community Centrepoint,-114.0282241,50.9208419,POINT (-114.02822405924363 50.92084190131195)
24-00195122,2024-03-18 0:00,2024-05-15 0:00,2024-05-15 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,SSD,SUNNYSIDE,Community Centrepoint,-114.0790291,51.05641953,POINT (-114.07902910930551 51.05641953275016)
24-00272220,2024-04-16 0:00,2024-05-22 0:00,2024-05-22 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,LMR,LOWER MOUNT ROYAL,Community Centrepoint,-114.0864994,51.0365032,POINT (-114.08649939756594 51.0365031977319)
24-00203697,2024-03-21 0:00,2024-03-21 0:00,2024-03-21 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,CHK,CHINOOK PARK,Community Centrepoint,-114.088994,50.98322809,POINT (-114.0889939534622 50.98322809371844)
24-00362594,2024-05-16 0:00,2024-05-22 0:00,2024-05-22 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,HAM,HAMPTONS,Community Centrepoint,-114.1466842,51.14509284,POINT (-114.14668419231347 51.14509283969437)
24-00373475,2024-05-21 0:00,2024-05-22 0:00,2024-05-22 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,MON,MONTGOMERY,Community Centrepoint,-114.1622482,51.07107614,POINT (-114.16224821352257 51.071076143066776)
24-00191096,2024-03-16 0:00,2024-03-16 0:00,2024-03-16 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,NEB,NEW BRIGHTON,Community Centrepoint,-113.9452397,50.92206607,POINT (-113.94523968694382 50.922066069064655)
24-00123099,2024-02-18 0:00,2024-05-22 0:00,2024-05-22 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,COV,COVENTRY HILLS,Community Centrepoint,-114.0531434,51.16490633,POINT (-114.05314340697439 51.16490633029946)
24-00203540,2024-03-21 0:00,2024-03-21 0:00,2024-03-21 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,N/A,N/A,Community Centrepoint,,,
24-00204059,2024-03-21 0:00,2024-03-21 0:00,2024-03-21 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,MAH,MAHOGANY,Community Centrepoint,-113.9246339,50.89594392,POINT (-113.92463385892763 50.8959439160425)
24-00381310,2024-05-23 0:00,2024-06-25 0:00,2024-06-25 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BRA,BRAESIDE,Community Centrepoint,-114.1063659,50.95600269,POINT (-114.10636590290262 50.95600269125181)
24-00193037,2024-03-17 0:00,2024-06-25 0:00,2024-06-25 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,BRD,BRIDGELAND/RIVERSIDE,Community Centrepoint,-114.0350798,51.05055069,POINT (-114.03507983816583 51.05055069436678)
24-00193054,2024-03-17 0:00,2024-03-17 0:00,2024-03-17 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,BRD,BRIDGELAND/RIVERSIDE,Community Centrepoint,-114.0350798,51.05055069,POINT (-114.03507983816583 51.05055069436678)
24-00202543,2024-03-20 0:00,2024-03-20 0:00,2024-03-20 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,ABB,ABBEYDALE,Community Centrepoint,-113.9278039,51.05941501,POINT (-113.92780385615137 51.05941500696419)
24-00195262,2024-03-18 0:00,2024-04-16 0:00,2024-04-16 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,HAM,HAMPTONS,Community Centrepoint,-114.1466842,51.14509284,POINT (-114.14668419231347 51.14509283969437)
24-00195053,2024-03-18 0:00,2024-05-14 0:00,2024-05-14 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,HAM,HAMPTONS,Community Centrepoint,-114.1466842,51.14509284,POINT (-114.14668419231347 51.14509283969437)
24-00193349,2024-03-18 0:00,2024-03-26 0:00,2024-03-26 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,HIL,HILLHURST,Community Centrepoint,-114.093646,51.05727753,POINT (-114.09364601408916 51.05727753172276)
24-00196415,2024-03-18 0:00,2024-03-18 0:00,2024-03-18 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,ASP,ASPEN WOODS,Community Centrepoint,-114.2083866,51.04521538,POINT (-114.20838662695127 51.045215377202034)
24-00180631,2024-03-12 0:00,2024-03-18 0:00,2024-03-18 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BRA,BRAESIDE,Community Centrepoint,-114.1063659,50.95600269,POINT (-114.10636590290262 50.95600269125181)
24-00195472,2024-03-18 0:00,2024-03-26 0:00,2024-03-26 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,SGH,SAGE HILL,Community Centrepoint,-114.1406861,51.17561697,POINT (-114.14068609335015 51.175616972779984)
24-00384860,2024-05-24 0:00,2024-05-24 0:00,2024-05-24 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,FHI,FOOTHILLS,Community Centrepoint,-113.9820382,50.99396303,POINT (-113.98203822530505 50.99396302917181)
24-00382065,2024-05-23 0:00,2024-05-24 0:00,2024-05-24 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,DNC,DOWNTOWN COMMERCIAL CORE,Community Centrepoint,-114.0695937,51.04727444,POINT (-114.06959371115288 51.047274435217574)
24-00006514,2024-01-03 0:00,2024-01-03 0:00,2024-01-03 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,WAL,WALDEN,Community Centrepoint,-114.0326195,50.87040629,POINT (-114.03261949596039 50.870406291791525)
24-00200500,2024-03-20 0:00,2024-03-20 0:00,2024-03-20 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,NHV,NORTH HAVEN,Community Centrepoint,-114.0894206,51.09594155,POINT (-114.08942057511393 51.095941551559434)
24-00200547,2024-03-20 0:00,2024-03-20 0:00,2024-03-20 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,WHL,WEST HILLHURST,Community Centrepoint,-114.1151585,51.05507951,POINT (-114.11515850909333 51.05507951363527)
24-00204341,2024-03-21 0:00,2024-03-21 0:00,2024-03-21 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BED,BEDDINGTON HEIGHTS,Community Centrepoint,-114.0849111,51.13164399,POINT (-114.08491114080483 51.13164398532214)
24-00215507,2024-03-26 0:00,2024-04-01 0:00,2024-04-01 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,RDL,ROSEDALE,Community Centrepoint,-114.0782071,51.06268666,POINT (-114.07820713414625 51.062686663226856)
24-00014426,2024-01-05 0:00,2024-01-05 0:00,2024-01-05 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,GDL,GLENDALE,Community Centrepoint,-114.1527189,51.03337139,POINT (-114.15271889005692 51.033371391768654)
24-00219389,2024-03-27 0:00,2024-04-04 0:00,2024-04-04 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,KIL,KILLARNEY/GLENGARRY,Community Centrepoint,-114.1317313,51.03013196,POINT (-114.13173134426289 51.03013195588548)
24-00016678,2024-01-08 0:00,2024-12-06 0:00,2024-01-24 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BNK,BANKVIEW,Community Centrepoint,-114.1004832,51.03412753,POINT (-114.10048318978971 51.0341275275111)
24-00000903,2024-01-01 0:00,2024-01-04 0:00,2024-01-04 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BOW,BOWNESS,Community Centrepoint,-114.1883885,51.08334629,POINT (-114.18838847472048 51.0833462877166)
24-00209414,2024-03-22 0:00,2024-03-22 0:00,2024-03-22 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,RUN,RUNDLE,Community Centrepoint,-113.9700581,51.07423997,POINT (-113.97005811864892 51.074239973666835)
24-00011422,2024-01-04 0:00,2024-01-04 0:00,2024-01-04 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,HPK,HIGHLAND PARK,Community Centrepoint,-114.0620558,51.08801818,POINT (-114.0620558477431 51.088018178558066)
24-00008319,2024-01-04 0:00,2024-12-06 0:00,2024-04-26 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,BRD,BRIDGELAND/RIVERSIDE,Community Centrepoint,-114.0350798,51.05055069,POINT (-114.03507983816583 51.05055069436678)
24-00217844,2024-03-27 0:00,2024-04-10 0:00,2024-04-10 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,DOV,DOVER,Community Centrepoint,-113.993054,51.02256772,POINT (-113.99305400906283 51.02256772250409)
24-00012685,2024-01-05 0:00,2024-01-05 0:00,2024-01-05 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,ING,INGLEWOOD,Community Centrepoint,-114.0191258,51.03414052,POINT (-114.01912581291103 51.03414052350448)
